model,question_id,query,query_language,correct_chunk_id,top_1_id,top_1_function,top_1_category,top_1_score,top_2_id,top_2_function,top_2_category,top_2_score,top_3_id,top_3_function,top_3_category,top_3_score,hit_at_3
MiniLM multilingual,q_20,привести телефон к единому формату,ru,func_070,func_180,extractPhoneNumbers,validation,0.4570389986038208,func_170,normalizePhoneNumber,validation,0.43777403235435486,func_070,normalize_phone_number,validation,0.3955332040786743,True
MiniLM multilingual,q_21,разбить большой список на части одинаковой длины,ru,func_082,func_090,truncate_string,utils,0.4134059548377991,func_082,chunk_list,utils,0.4022465944290161,func_040,bulk_insert_records,database,0.35003846883773804,True
MiniLM multilingual,q_22,memoization decorator for function results,en,func_085,func_185,memoize,utils,0.5336549878120422,func_085,memoize,utils,0.48242732882499695,func_198,logEvent,utils,0.4386666715145111,True
MiniLM multilingual,q_23,форматировать число секунд в человекочитаемый вид,ru,func_188,func_188,formatDuration,utils,0.5434976816177368,func_088,format_duration,utils,0.5247358083724976,func_200,parseHumanDuration,utils,0.4929380416870117,True
MiniLM multilingual,q_24,compute file hash for verification,en,func_192,func_092,calculate_hash,utils,0.5317814350128174,func_105,validateCredentials,auth,0.5258782505989075,func_101,verifyJwtToken,auth,0.4763278365135193,False
MiniLM multilingual,q_25,"формат суммы как 1 234,56 рублей",ru,func_099,func_099,format_currency_rub,utils,0.47331702709198,func_081,format_bytes,utils,0.29102855920791626,func_199,formatCurrencyRub,utils,0.2602687478065491,True
MPNet multilingual,q_01,"как проверить, истёк ли токен?",ru,func_001,func_066,validate_credit_card,validation,0.3971237540245056,func_166,validateCreditCard,validation,0.38787174224853516,func_071,validate_inn,validation,0.3238697946071625,False
MPNet multilingual,q_02,where is password hashing implemented,en,func_002,func_002,hash_password,auth,0.6318066120147705,func_102,hashPassword,auth,0.6271262168884277,func_003,check_password,auth,0.5240201950073242,True
MPNet multilingual,q_03,проверка двухфакторной аутентификации по коду,ru,func_014,func_114,validateTwoFactorCode,auth,0.6708546876907349,func_014,validate_2fa_code,auth,0.6456339955329895,func_003,check_password,auth,0.6043053865432739,True
MPNet multilingual,q_04,logout user and clear session,en,func_010,func_110,logoutUser,auth,0.6202749013900757,func_010,logout_user,auth,0.6044456958770752,func_019,unlock_user,auth,0.39889663457870483,True
MPNet multilingual,q_05,проверить права администратора на эндпоинте,ru,func_109,func_008,has_permission,auth,0.41647952795028687,func_009,require_admin,auth,0.3936766982078552,func_109,requireAdmin,auth,0.3894454836845398,True
MPNet multilingual,q_06,получить пользователя по электронной почте,ru,func_022,func_122,getUserByEmail,database,0.42516040802001953,func_116,sendPasswordResetEmail,auth,0.38704076409339905,func_022,get_user_by_email,database,0.38583868741989136,True
MPNet multilingual,q_07,rollback transaction in case of error,en,func_036,func_036,rollback_transaction,database,0.6360551118850708,func_136,rollbackTransaction,database,0.6029199361801147,func_148,fetchWithTimeout,http,0.37247133255004883,True
MPNet multilingual,q_08,массовая вставка большого количества записей,ru,func_140,func_040,bulk_insert_records,database,0.27171018719673157,func_127,countUsers,database,0.2385556697845459,func_140,bulkInsertRecords,database,0.2185341715812683,True
MPNet multilingual,q_09,soft delete a record without removing it,en,func_029,func_029,soft_delete_post,database,0.47728943824768066,func_025,delete_user,database,0.43022620677948,func_125,deleteUser,database,0.41335630416870117,True
MPNet multilingual,q_10,пагинация при выборке списка пользователей,ru,func_026,func_027,count_users,database,0.5436725616455078,func_026,list_users_paginated,database,0.5268204212188721,func_126,listUsersPaginated,database,0.4882122278213501,True
MPNet multilingual,q_11,"обработка ситуации, когда сервер вернул 429",ru,func_047,func_047,handle_rate_limit,http,0.5321258306503296,func_147,handleRateLimit,http,0.4841209053993225,func_044,retry_request,http,0.41305333375930786,True
MPNet multilingual,q_12,send file via http multipart upload,en,func_152,func_052,upload_file_multipart,http,0.6257234811782837,func_152,uploadFileMultipart,http,0.5736256241798401,func_043,download_file,http,0.4797954559326172,True
MPNet multilingual,q_13,отправка уведомления через webhook,ru,func_046,func_146,sendWebhook,http,0.6397078037261963,func_046,send_webhook,http,0.5973151922225952,func_148,fetchWithTimeout,http,0.4762570261955261,True
MPNet multilingual,q_14,retry http request with exponential backoff,en,func_044,func_044,retry_request,http,0.6090075969696045,func_144,retryRequest,http,0.5192927122116089,func_047,handle_rate_limit,http,0.4590547978878021,True
MPNet multilingual,q_15,проксирование запроса на другой сервер,ru,func_149,func_060,broadcast_to_servers,http,0.49845272302627563,func_149,proxyRequest,http,0.4867018461227417,func_049,proxy_request,http,0.4549989402294159,True
MPNet multilingual,q_16,проверка номера банковской карты,ru,func_066,func_066,validate_credit_card,validation,0.5928289890289307,func_166,validateCreditCard,validation,0.5118474364280701,func_062,validate_phone,validation,0.41046473383903503,True
MPNet multilingual,q_17,check email format validity,en,func_061,func_161,validateEmail,validation,0.6717277765274048,func_061,validate_email,validation,0.6430749893188477,func_005,validate_credentials,auth,0.43957042694091797,True
MPNet multilingual,q_18,проверить корректность ИНН,ru,func_071,func_071,validate_inn,validation,0.573415219783783,func_171,validateInn,validation,0.530397891998291,func_072,validate_snils,validation,0.48743194341659546,True
MPNet multilingual,q_19,remove emoji characters from text,en,func_174,func_074,strip_emoji,validation,0.581778883934021,func_174,stripEmoji,validation,0.44412386417388916,func_064,sanitize_html,validation,0.30432260036468506,True
MPNet multilingual,q_20,привести телефон к единому формату,ru,func_070,func_170,normalizePhoneNumber,validation,0.5030227303504944,func_070,normalize_phone_number,validation,0.468858540058136,func_062,validate_phone,validation,0.4600983262062073,True
MPNet multilingual,q_21,разбить большой список на части одинаковой длины,ru,func_082,func_082,chunk_list,utils,0.45326554775238037,func_182,chunkList,utils,0.37588632106781006,func_026,list_users_paginated,database,0.3564315438270569,True
MPNet multilingual,q_22,memoization decorator for function results,en,func_085,func_085,memoize,utils,0.6112818717956543,func_185,memoize,utils,0.5914658308029175,func_084,retry_decorator,utils,0.5113323926925659,True
MPNet multilingual,q_23,форматировать число секунд в человекочитаемый вид,ru,func_188,func_088,format_duration,utils,0.6023256778717041,func_188,formatDuration,utils,0.5930667519569397,func_200,parseHumanDuration,utils,0.5817551016807556,True
MPNet multilingual,q_24,compute file hash for verification,en,func_192,func_103,checkPassword,auth,0.5669193267822266,func_003,check_password,auth,0.5572559833526611,func_092,calculate_hash,utils,0.5549612641334534,False
MPNet multilingual,q_25,"формат суммы как 1 234,56 рублей",ru,func_099,func_099,format_currency_rub,utils,0.6075887084007263,func_199,formatCurrencyRub,utils,0.43303781747817993,func_073,validate_passport_rf,validation,0.3878001868724823,True
DistilUSE multilingual,q_01,"как проверить, истёк ли токен?",ru,func_001,func_103,checkPassword,auth,0.18541279435157776,func_071,validate_inn,validation,0.17667433619499207,func_172,validateSnils,validation,0.17483331263065338,False
DistilUSE multilingual,q_02,where is password hashing implemented,en,func_002,func_002,hash_password,auth,0.3313610851764679,func_102,hashPassword,auth,0.33065301179885864,func_017,reset_password,auth,0.2582992911338806,True
DistilUSE multilingual,q_03,проверка двухфакторной аутентификации по коду,ru,func_014,func_114,validateTwoFactorCode,auth,0.5849446058273315,func_014,validate_2fa_code,auth,0.5236218571662903,func_103,checkPassword,auth,0.4645824134349823,True
DistilUSE multilingual,q_04,logout user and clear session,en,func_010,func_010,logout_user,auth,0.34590619802474976,func_110,logoutUser,auth,0.31759244203567505,func_118,blockUser,auth,0.28529977798461914,True
DistilUSE multilingual,q_05,проверить права администратора на эндпоинте,ru,func_109,func_008,has_permission,auth,0.30388519167900085,func_108,hasPermission,auth,0.27503031492233276,func_109,requireAdmin,auth,0.244856595993042,True
DistilUSE multilingual,q_06,получить пользователя по электронной почте,ru,func_022,func_116,sendPasswordResetEmail,auth,0.3594280481338501,func_122,getUserByEmail,database,0.3368549048900604,func_022,get_user_by_email,database,0.2929624021053314,True
DistilUSE multilingual,q_07,rollback transaction in case of error,en,func_036,func_036,rollback_transaction,database,0.3650357127189636,func_136,rollbackTransaction,database,0.3348163366317749,func_135,commitTransaction,database,0.18964526057243347,True
DistilUSE multilingual,q_08,массовая вставка большого количества записей,ru,func_140,func_040,bulk_insert_records,database,0.11477816104888916,func_081,format_bytes,utils,0.10147824883460999,func_140,bulkInsertRecords,database,0.09947492927312851,True
DistilUSE multilingual,q_09,soft delete a record without removing it,en,func_029,func_129,softDeletePost,database,0.32098859548568726,func_025,delete_user,database,0.27250346541404724,func_029,soft_delete_post,database,0.26117193698883057,True
DistilUSE multilingual,q_10,пагинация при выборке списка пользователей,ru,func_026,func_128,findOrdersByUser,database,0.2747392952442169,func_028,find_orders_by_user,database,0.2712380588054657,func_182,chunkList,utils,0.2518481910228729,False
DistilUSE multilingual,q_11,"обработка ситуации, когда сервер вернул 429",ru,func_047,func_047,handle_rate_limit,http,0.29087164998054504,func_147,handleRateLimit,http,0.2620696723461151,func_044,retry_request,http,0.15081347525119781,True
DistilUSE multilingual,q_12,send file via http multipart upload,en,func_152,func_052,upload_file_multipart,http,0.402865469455719,func_152,uploadFileMultipart,http,0.3266265094280243,func_043,download_file,http,0.24212788045406342,True
DistilUSE multilingual,q_13,отправка уведомления через webhook,ru,func_046,func_046,send_webhook,http,0.26818037033081055,func_146,sendWebhook,http,0.16419194638729095,func_197,sendEmail,utils,0.12326651811599731,True
DistilUSE multilingual,q_14,retry http request with exponential backoff,en,func_044,func_044,retry_request,http,0.3860272169113159,func_144,retryRequest,http,0.2948574423789978,func_047,handle_rate_limit,http,0.2860943078994751,True
DistilUSE multilingual,q_15,проксирование запроса на другой сервер,ru,func_149,func_060,broadcast_to_servers,http,0.2913634777069092,func_160,broadcastToServers,http,0.25039488077163696,func_149,proxyRequest,http,0.23846423625946045,True
DistilUSE multilingual,q_16,проверка номера банковской карты,ru,func_066,func_066,validate_credit_card,validation,0.46033376455307007,func_166,validateCreditCard,validation,0.44201648235321045,func_179,validateIban,validation,0.36296546459198,True
DistilUSE multilingual,q_17,check email format validity,en,func_061,func_061,validate_email,validation,0.5261537432670593,func_161,validateEmail,validation,0.49880659580230713,func_062,validate_phone,validation,0.3121122717857361,True
DistilUSE multilingual,q_18,проверить корректность ИНН,ru,func_071,func_171,validateInn,validation,0.3563094139099121,func_071,validate_inn,validation,0.3402182459831238,func_172,validateSnils,validation,0.2791590690612793,True
DistilUSE multilingual,q_19,remove emoji characters from text,en,func_174,func_074,strip_emoji,validation,0.40518686175346375,func_174,stripEmoji,validation,0.34588080644607544,func_064,sanitize_html,validation,0.3168324828147888,True
DistilUSE multilingual,q_20,привести телефон к единому формату,ru,func_070,func_170,normalizePhoneNumber,validation,0.29140859842300415,func_070,normalize_phone_number,validation,0.2596067190170288,func_062,validate_phone,validation,0.23868712782859802,True
DistilUSE multilingual,q_21,разбить большой список на части одинаковой длины,ru,func_082,func_082,chunk_list,utils,0.3399014174938202,func_182,chunkList,utils,0.3221144676208496,func_090,truncate_string,utils,0.22536493837833405,True
DistilUSE multilingual,q_22,memoization decorator for function results,en,func_085,func_085,memoize,utils,0.3689154386520386,func_185,memoize,utils,0.34865254163742065,func_084,retry_decorator,utils,0.32751017808914185,True
DistilUSE multilingual,q_23,форматировать число секунд в человекочитаемый вид,ru,func_188,func_088,format_duration,utils,0.39751768112182617,func_188,formatDuration,utils,0.3593253791332245,func_100,parse_human_duration,utils,0.35228651762008667,True
DistilUSE multilingual,q_24,compute file hash for verification,en,func_192,func_092,calculate_hash,utils,0.3864794075489044,func_059,validate_ssl_cert,http,0.3634974956512451,func_192,calculateHash,utils,0.3187377452850342,True
DistilUSE multilingual,q_25,"формат суммы как 1 234,56 рублей",ru,func_099,func_099,format_currency_rub,utils,0.37896138429641724,func_199,formatCurrencyRub,utils,0.21364691853523254,func_062,validate_phone,validation,0.18156194686889648,True
